6 7 TB , 1 9 B , 2 4 B , 3 10 B , 5 8 P , 
1 12 TB , 2 18 TB , 3 7 TB , 4 8 TB , 5 16 TB , 6 10 TB , 9 21 TB , 11 14 TB , 13 17 TB , 15 22 TB , 19 23 TB , 20 31 TB , 24 25 TB , 26 27 TB , 34 38 39 AR , 28 29 30 AR , 30 32 33 AR , 33 35 36 AR , 
6 7 TB , 8 10 B , 8 10 B , 8 10 B , 8 10 B , 
2 7 TB , 8 11 B , 8 11 B , 8 11 B , 8 11 B , 
6 7 TB , 8 10 B , 8 10 B , 8 10 B , 8 10 B , 
6 7 TB , 1 9 B , 2 4 B , 3 10 B , 4 10 P , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
6 7 , 1 9 , 2 4 , 3 10 , 4 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
6 7 TB , 1 9 B , 2 4 B , 3 10 B , 5 8 P , 
2 7 TB , 1 5 B , 4 6 B , 8 11 B , 3 9 AR , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
2 7 , 1 5 , 4 6 , 8 11 , 3 9 10 , 
6 7 , 1 9 , 2 4 , 3 10 , 5 8 , 
2 3 4 , 1 7 , 5 6 , 8 9 , 10 11 , 
2 3 4 , 1 7 , 5 6 , 8 9 , 10 11 , 
2 3 4 , 1 7 , 5 6 , 8 9 , 10 11 , 
